Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DOW,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
19/05/2017,36.22418594,135.1512299,71.51767731,170.326004,90.55812073,87.40000153,26.83329582,85.32763672,,102.9633255,196.6403809,139.1894073,113.8338776,114.7778168,31.13109207,111.3255539,73.8115387,37.34197998,131.4243317,167.2557068,52.07584381,63.40209579,49.18744278,75.13315582,107.3436584,160.1696014,89.54864502,36.3048172,68.15268707,71.64157867
22/05/2017,36.44427872,132.1375427,71.6852951,173.0680389,90.43432617,88.94000244,27.16000938,85.00721741,,103.0686646,197.2155151,138.8866425,114.2150421,115.2762299,31.45647812,111.5534821,73.74187469,37.58015823,131.4598389,169.5706329,52.28812408,64.11393738,48.99740982,75.10700989,108.1079178,162.1277618,90.35232544,36.35279083,68.7698822,71.44150543
23/05/2017,36.39930725,133.0442047,71.89016724,172.8984528,91.61901855,88.48999786,27.3061676,85.12737274,,102.48452,200.5203705,137.8803864,114.2237244,114.8155518,31.53561783,111.781395,74.66474152,37.75878143,131.1316071,168.9043274,52.70454025,64.32939148,49.5959816,74.99375916,108.1168289,162.6103668,90.8848877,36.35279083,68.68532562,71.38694763
24/05/2017,36.29044342,133.5019073,71.81565857,174.5568542,91.90193176,89.59999847,27.07402992,85.08731079,,103.1452789,204.3456573,138.0317078,114.4749527,115.1780472,31.76426506,111.7726135,74.62120056,38.30316544,132.6219482,168.6993408,53.0147934,64.41368866,49.41546249,75.35965729,108.4634094,162.9536743,91.80477142,36.00108337,68.12733459,71.07771301
25/05/2017,36.41588211,134.2185974,72.11365509,176.2718201,92.84792328,91.26999664,27.0310421,84.19815063,,102.7239227,203.1040192,139.3319244,115.8697205,115.6991348,31.88737679,112.5314713,74.30776978,38.62640381,132.8703003,170.4504242,53.10461426,65.20983887,49.73850632,75.67329407,109.9475021,165.2366486,92.02749634,36.21690369,68.27105713,71.22322845
26/05/2017,36.35434341,133.8559418,72.13228607,175.819458,93.41377258,90.83000183,27.08263016,83.88574982,,103.8156128,204.0717773,137.9426575,115.436554,115.162941,31.88737679,111.9932175,74.3164978,38.60939407,132.94133,171.4157104,53.00664139,65.52831268,49.96652603,76.01307678,109.8941803,164.7262115,91.66921997,36.22489166,68.69378662,71.05951691
30/05/2017,36.36854172,132.8542328,71.78774261,176.0927582,93.24576569,90.86000061,27.2373848,83.35706329,,103.7485733,200.0779114,137.8262329,115.1593323,114.5889816,31.8170414,112.1608887,73.04537201,38.64341354,133.0034027,172.9276733,52.97397232,65.94981384,50.28005981,76.14374542,109.956398,163.8817139,91.71765137,36.92828369,67.77223206,71.07771301
31/05/2017,36.15317917,134.0545349,71.64802551,176.799469,93.21041107,89.63999939,27.10842514,82.89245605,,103.3655243,193.5191193,137.4948425,115.2113037,115.268692,31.75547028,113.1668091,71.52176666,38.67743301,133.855011,174.6617584,53.16176987,65.41590881,50.34658432,76.74487305,110.9517059,162.5731964,92.21147156,37.27999115,68.49933624,71.48696899
01/06/2017,36.25257492,134.9181061,72.89588165,176.5073547,93.4048996,90.05000305,27.35775757,83.52526855,,103.6240768,196.9542389,138.9637909,115.6098099,115.2989044,31.76426506,113.6344604,72.31404877,38.94963455,136.0331268,174.5592346,53.28424454,65.65943909,49.86036301,76.77973175,111.4404831,166.6565704,92.37608337,37.17607117,69.48006439,72.58747101
02/06/2017,36.78981781,137.430954,73.09143066,179.2493744,93.67010498,90.86000061,27.49531746,82.59606934,,102.6377335,195.3970032,139.1429138,116.1122742,114.8306808,31.94015121,114.7815933,71.9484024,39.0347023,137.238205,176.5666046,53.45571518,67.21429443,50.50864029,77.18050385,111.2182999,166.4802399,93.10229492,37.120121,70.25789642,72.41468048
05/06/2017,36.43008041,138.3549347,73.538414,178.0432739,93.00706482,91.37999725,27.3061676,82.66014099,,102.0057068,196.0199127,138.6412964,115.6444626,115.1025467,31.95773315,115.0286484,72.07897949,39.11976242,136.3901825,176.1566467,53.12911606,67.70136261,50.53724289,77.31117249,111.4227066,166.4616547,93.48963165,37.06417847,70.49462128,72.99673462
06/06/2017,36.55314255,137.759079,73.42666626,175.9702606,92.43238831,91.09999847,27.13421249,83.44516754,,101.0289383,196.5145569,138.1128387,114.9947281,115.0723648,31.77305603,115.4433823,72.22698975,39.11125565,134.9976349,175.4646912,52.80250931,67.92613983,50.03195953,77.36345673,110.2229919,167.8072968,92.75372314,37.120121,68.86286926,71.78710938
07/06/2017,36.77088928,139.5983887,74.32064056,177.2423401,91.51293945,91.38999939,27.17720413,83.12474823,,101.4311295,197.6595764,138.7935791,114.9774094,114.0225983,31.88737679,115.3727646,73.05410004,38.71146011,135.631424,175.1230011,52.3044548,67.80437469,50.74699402,77.33729553,110.3928223,170.0253296,93.04420471,37.16808319,68.87133789,71.98722076
08/06/2017,36.68093491,140.4532928,74.45100403,178.9667206,92.83907318,91.25,27.17720413,83.30899048,,99.89894104,200.389389,137.4859009,115.6964417,114.8684235,32.08085251,115.1963043,73.95954132,38.38822556,135.176178,175.9174194,51.6022644,67.39224243,50.7183876,76.53577423,110.6431198,168.6147003,93.04420471,36.92030334,68.87979126,71.78710938
09/06/2017,35.25857925,141.6708832,74.78627014,179.0609131,93.64360809,87.26999664,26.97086143,85.23151398,,101.1438446,203.7603149,137.0022125,115.9043427,116.37883,31.40371132,116.061058,75.70948792,38.54984665,135.2207794,176.7631226,52.57390213,65.86549377,50.96625519,76.80588531,111.9392319,168.4012604,91.56269073,37.34393692,68.47396088,72.23278046
12/06/2017,34.4160614,142.3789978,74.65588379,179.0326538,93.7762146,86.18000031,26.86768723,86.54521179,,102.5036774,203.2748566,136.3036194,115.4452209,117.1944885,31.42129707,116.3169632,75.72691345,38.55835342,132.5338745,177.1560516,52.57390213,65.35970306,51.50966263,76.87556458,112.3325119,166.3503418,90.53629303,37.71961594,69.16725922,72.06906128
13/06/2017,34.6929512,141.9904022,75.04697418,180.0597382,93.49332428,87.26999664,27.25458145,86.61732483,,102.044014,205.3724976,137.9247894,116.4241486,116.4921188,31.5532074,116.4934082,75.97936249,38.6183815,133.7389832,178.6253052,52.03927994,66.17459869,51.77661133,76.71875,112.7168808,168.0207672,92.06624603,37.13610077,69.15878296,72.3237381
14/06/2017,34.35451889,142.5689545,75.27977753,181.2752686,92.57385254,87.16999817,27.16860199,85.39170837,,101.6418152,207.4885254,140.4057617,116.2942047,116.1598358,31.24541473,117.15522,75.82265472,38.84994888,134.5066223,179.394043,52.12151718,65.81867218,52.11027908,77.04981232,114.3794785,169.236496,92.29862213,37.3199501,70.07188416,72.66933441
15/06/2017,34.14862061,141.7140503,75.14943695,184.168045,94.06797791,86.26999664,27.15140915,85.17543793,,101.4886017,204.483963,140.4147186,116.4934616,116.4695053,31.05194283,117.3934708,75.36994171,38.80706406,134.9440155,180.4874878,51.97346878,65.47210693,50.43238068,77.86875153,115.3269806,168.090332,91.18505859,37.27999115,69.80133057,71.76894379
16/06/2017,33.67054749,140.2546844,75.84786224,185.1009521,95.12887573,86,27.19439507,86.79356384,,101.0385056,203.1832275,140.2983246,116.6320648,117.3455276,30.96399689,118.5493927,75.03038788,38.85852432,135.6760406,182.1532288,51.79252243,65.56575775,48.71634674,78.11270142,115.7024002,169.2551575,91.18505859,37.27199936,66.31802368,68.43106079
19/06/2017,34.63377762,142.5603333,76.24826813,187.5885315,95.0316391,87.54000092,27.50391579,86.08061981,,100.9044495,207.1404877,142.2418976,117.6803207,116.9377289,31.22783089,118.3023224,76.67585754,38.91855621,136.7025757,182.255722,52.37649536,66.38064575,49.59342957,78.2869339,114.6565857,170.5504303,91.78540802,37.22403717,67.47634125,68.66752625
20/06/2017,34.31901169,143.5965576,76.83494568,186.8818359,94.63379669,86.91999817,27.38354492,85.29560089,,99.53504944,206.1969452,141.2208252,116.8746185,117.0207748,30.65620995,118.4346924,76.19702911,39.11580658,137.5328064,182.255722,53.0756073,65.48149109,49.15488815,78.08654022,115.0856476,170.7833862,91.38840485,36.72047424,66.19967651,68.7039032
21/06/2017,34.52254105,147.9660645,76.55558014,187.6733093,91.47756958,87.55999756,27.37495422,83.70150757,,100.3585968,203.8061218,140.253479,116.3028564,116.1447525,30.40997505,119.043541,75.8487854,38.78134155,137.2292938,181.8286438,53.84053802,65.81867218,50.13683319,77.88616943,114.9336929,172.3209686,91.54332733,36.29682541,66.04751587,69.34055328
22/06/2017,34.46574402,150.098999,76.59280396,187.9277649,91.80466461,88.47000122,27.38354492,83.66947174,,99.80319214,201.3145294,139.2593231,116.1469193,116.6054153,30.21650696,120.0494614,75.76171875,38.6526947,138.1844025,181.2819366,54.3011322,65.80931854,49.95570755,77.5638504,114.6923294,173.793335,90.97203064,36.3048172,64.56796265,68.68571472
23/06/2017,34.6195755,148.9590759,76.564888,190.5567169,92.04338837,88.62000275,27.58989143,84.11003113,,99.9372406,198.9512024,135.5243835,116.0776215,116.3864059,30.06700516,120.384758,75.62242889,38.80706406,138.0416107,181.8627472,54.41629028,66.69911957,50.38471222,77.90359497,114.1113205,172.628479,92.55036163,36.28084946,64.54257202,68.06723022
26/06/2017,34.51071548,149.9694214,77.25399017,188.4365692,92.1671524,88.11000061,27.7188549,83.42112732,,101.0959625,201.9282837,135.6229095,116.3115387,117.2322617,29.96147728,120.3053665,75.9532547,38.9614296,137.4345856,181.6150665,54.21889114,66.06220245,50.79465485,77.85132599,114.3705521,172.507309,92.20178986,36.56859589,65.54867554,68.66752625
